"X1","X2","X3","class"
0.336368457128737,0.514089433381301,0.381687599062513,1
0.617239194173996,0.290763567822849,0.506958744564306,3
0.462698089831218,0.368138050893885,0.685668901531979,3
0.259297483575809,0.699776906473335,0.801459885278232,2
0.318935686888189,0.708720023319841,0.770673996492669,2
0.472634638123464,0.402973278460308,0.512018783052804,3
0.537139425862776,0.367049547627213,0.546090449532142,3
0.352229633006389,0.680668457361616,0.66011217094856,2
0.401123207019837,0.665074822319903,0.876263866634123,2
0.518517597393595,0.377195975312199,0.277218079055516,1
0.5664454569657,0.518401135760268,0.43619975619117,3
0.608577562674624,0.376604709917202,0.43128015862126,3
0.491341684572407,0.339568982568364,0.505488346576663,3
0.414837795205005,0.397420735194967,0.324292510985073,1
0.411692472191016,0.49338899347185,0.351269961692834,1
0.362014768881785,0.652896131287285,0.893476813662034,2
0.336794945480131,0.754088468774355,0.742153142593335,2
0.37237068250879,0.599701851489322,0.910271403690958,2
0.299271828163933,0.729743078134242,0.903809406949945,2
0.348563668367836,0.614424106827155,0.837782130372675,2
0.282310166283911,0.693597874955127,0.690603178058592,2
0.265868314984726,0.409860384487561,0.399661714146855,1
0.371947425756405,0.437625619285496,0.336454657945367,1
0.512740608440451,0.409710006547393,0.279829212485392,1
0.614096888059923,0.370405783956462,0.593554840762118,3
0.0883871916906615,0.736003567322066,0.686133353258996,2
0.324187680218265,0.623747949870246,0.943914111991443,2
0.298167431706497,0.377281121551423,0.649504794163968,3
0.479597398610549,0.470127050212537,0.309238976405265,1
0.574440104264624,0.370897323310931,0.400288666528035,3
0.378324357596586,0.36432802188586,0.340389392942986,1
0.387039165484715,0.604891332774971,0.854924320652973,2
0.437744006772906,0.516720729317435,0.34291379166393,1
0.529629043442537,0.374704741426589,0.540983931642982,3
0.466082957819492,0.469833430465324,0.747947241014807,3
0.221073577208589,0.714196704834128,0.82350527703924,2
0.738390004664866,0.385137560118571,0.503884763679495,3
0.422860785817369,0.468624313507285,0.345219212709244,1
0.49720760427451,0.348745553391969,0.26997505964043,1
0.625274224837369,0.380525286863802,0.247868355661405,1
0.494585124299461,0.43970791234537,0.296250719810466,1
0.461213937662802,0.408058125291066,0.646986714870264,3
0.508705281283985,0.510912039713564,0.606766842892737,3
